Timestamp,Score,What is your grade level? ,"Have you received any formal instruction related to personal finance in school (e.g., budgeting, credit, loans, investing)?  ","If ""yes"" or ""unsure"", please describe briefly (e.g., what grades, topics, depth, etc)","  In your opinion, how important is it for high school students (ages 14-18) to learn about personal finance?  ","How confident do you feel in your ability to make basic personal finance decisions (e.g., budgeting, saving, understanding credit)?  ",1. What’s the most important first step in setting up a long-term financial plan? ,2. What’s a good example of using automation to manage your personal finances? ,3. What is the most responsible first move for building your credit? ,"4. When you can’t pay off your credit cards in full, what’s the smartest strategy to reduce your debt long-term? ","5. If you invest $100 a month starting at age 21 and earn 7% annually, what would your account balance be at age 91? ",6. Which of these statements accurately reflect the risks associated with investing? ,7.  Which metric best helps you compare the cost vs. benefit of college borrowing? ,8. What’s the most efficient method to eliminate student loan debt? ,9. What consequences are likely to occur if you default on your student loans? ,"10. When reviewing a loan application, lenders usually examine the following core areas:",11. Your monthly loan payments are based on:,"12. If inflation is 3%, what does that mean for your personal finances?",Is there anything else you'd like to share about your experience with and/or opinions on financial literacy education?  ,"Would you like to learn more about Project 57 and potentially get involved? If so, please enter your email below:"
6/5/2025 10:57:58,4 / 12,Sophomore (10th),No,,5,3,C. Open a basic savings account to begin earning interest.,"B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,A. Pay a little more than the minimum monthly amount across all your credit cards.,D. None of the above.,"E. A, C, and D.",C. Return on investment (ROI),B. Target the smallest outstanding balances first to knock them out,E. All of the Above,"A. Credit score, available savings, educational background, and job history",B. Interest rate charged,C. You need to earn 3% more in net income just to maintain your current standard of living,,
6/5/2025 10:58:06,3 / 12,Sophomore (10th),No,,3,4,"A. Define your life, career, and financial goals in writing",C. Letting each service provider withdraw their monthly fees straight from your checking account.,"B. Create a plan with a working budget, emergency fund, and repayment strategy.",B. Pay off the smallest balance first to gain momentum.,"B. Between $150,000–$225,000, depending on circumstances.","B. Losses are capped at 20% across stocks and real estate, so if you invest $10,000, the most you can lose is $2,000.",D. All of the above,C. Max out payments (within budget) on the highest interest loan,C. The government may take your state and federal tax refunds to pay off your student loans,"A. Credit score, available savings, educational background, and job history","A. Annual Percentage Yield (APY), C. Annual Percentage Rate (APR)",E. Not sure,,
6/5/2025 10:58:11,4 / 12,Junior (11th),No,,4,2,"A. Define your life, career, and financial goals in writing",A. Using a spreadsheet to list bills and writing down a monthly budget.,"B. Create a plan with a working budget, emergency fund, and repayment strategy.",A. Pay a little more than the minimum monthly amount across all your credit cards.,D. None of the above.,"E. A, C, and D.",D. All of the above,A. Make slightly higher payments than the minimum on all your loans,D. A and C,"A. Credit score, available savings, educational background, and job history","C. Annual Percentage Rate (APR), D. Loan duration",E. Not sure,,
6/5/2025 10:58:33,4 / 12,Sophomore (10th),No,,4,2,D. Review your credit score and payment history,A. Using a spreadsheet to list bills and writing down a monthly budget.,D. Both A and B,A. Pay a little more than the minimum monthly amount across all your credit cards.,"A. $141,598.","E. A, C, and D.",D. All of the above,B. Target the smallest outstanding balances first to knock them out,D. A and C,"B. Credit history, equity, financial assets, and debt-to-income ratio","B. Interest rate charged, C. Annual Percentage Rate (APR)",C. You need to earn 3% more in net income just to maintain your current standard of living,I am absolutely doomed. ,
6/5/2025 10:58:36,2 / 12,Sophomore (10th),Yes,,5,3,C. Open a basic savings account to begin earning interest.,D. Avoid automating anything—manual tracking is more accurate,D. Both A and B,C. Pay the maximum you can afford on the card with the highest interest rate.,C. Over $1.5 million.,"B. Losses are capped at 20% across stocks and real estate, so if you invest $10,000, the most you can lose is $2,000.",B. Dollar-cost averaging for student debt,B. Target the smallest outstanding balances first to knock them out,B. You can file for bankruptcy to erase the debt,"D. Liquidity, credit history, asset report scoring, and debt load",A. Annual Percentage Yield (APY),"A. Stocks, bonds, and mutual funds will automatically adjust by 3% to match inflation",no,
6/5/2025 10:58:39,4 / 12,Sophomore (10th),No,,4,4,"A. Define your life, career, and financial goals in writing",A. Using a spreadsheet to list bills and writing down a monthly budget.,D. Both A and B,E. Not sure,"B. Between $150,000–$225,000, depending on circumstances.","E. A, C, and D.",D. All of the above,C. Max out payments (within budget) on the highest interest loan,E. All of the Above,"B. Credit history, equity, financial assets, and debt-to-income ratio","A. Annual Percentage Yield (APY), C. Annual Percentage Rate (APR)",B. Retirement accounts like 401(k)s automatically account for inflation by 3%,,
6/5/2025 10:58:40,5 / 12,Sophomore (10th),No,,5,2,"A. Define your life, career, and financial goals in writing","B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,E. Not sure,"B. Between $150,000–$225,000, depending on circumstances.","E. A, C, and D.",B. Dollar-cost averaging for student debt,B. Target the smallest outstanding balances first to knock them out,D. A and C,"B. Credit history, equity, financial assets, and debt-to-income ratio","B. Interest rate charged, C. Annual Percentage Rate (APR)","A. Stocks, bonds, and mutual funds will automatically adjust by 3% to match inflation",No,
6/5/2025 10:59:10,4 / 12,Sophomore (10th),No,,4,2,"A. Define your life, career, and financial goals in writing",A. Using a spreadsheet to list bills and writing down a monthly budget.,D. Both A and B,A. Pay a little more than the minimum monthly amount across all your credit cards.,"A. $141,598.","E. A, C, and D.",D. All of the above,A. Make slightly higher payments than the minimum on all your loans,D. A and C,"A. Credit score, available savings, educational background, and job history","B. Interest rate charged, C. Annual Percentage Rate (APR), D. Loan duration",C. You need to earn 3% more in net income just to maintain your current standard of living,No,
6/5/2025 10:59:11,5 / 12,Sophomore (10th),No,,4,3,C. Open a basic savings account to begin earning interest.,"B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,E. Not sure,D. None of the above.,"E. A, C, and D.",C. Return on investment (ROI),C. Max out payments (within budget) on the highest interest loan,E. All of the Above,"B. Credit history, equity, financial assets, and debt-to-income ratio","B. Interest rate charged, C. Annual Percentage Rate (APR), D. Loan duration",E. Not sure,No,
6/5/2025 10:59:31,3 / 12,Sophomore (10th),No,,5,4,"A. Define your life, career, and financial goals in writing",D. Avoid automating anything—manual tracking is more accurate,D. Both A and B,A. Pay a little more than the minimum monthly amount across all your credit cards.,"A. $141,598.","E. A, C, and D.",D. All of the above,D. Max out payments on the loan with the highest overall balance,E. All of the Above,"A. Credit score, available savings, educational background, and job history",A. Annual Percentage Yield (APY),C. You need to earn 3% more in net income just to maintain your current standard of living,,
6/5/2025 10:59:56,3 / 12,Sophomore (10th),No,,5,3,C. Open a basic savings account to begin earning interest.,"B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,A. Pay a little more than the minimum monthly amount across all your credit cards.,"B. Between $150,000–$225,000, depending on circumstances.","E. A, C, and D.",D. All of the above,A. Make slightly higher payments than the minimum on all your loans,D. A and C,"A. Credit score, available savings, educational background, and job history","A. Annual Percentage Yield (APY), C. Annual Percentage Rate (APR), D. Loan duration","A. Stocks, bonds, and mutual funds will automatically adjust by 3% to match inflation",no,
6/5/2025 10:59:59,5 / 12,Sophomore (10th),No,,5,3,D. Review your credit score and payment history,A. Using a spreadsheet to list bills and writing down a monthly budget.,"B. Create a plan with a working budget, emergency fund, and repayment strategy.",B. Pay off the smallest balance first to gain momentum.,C. Over $1.5 million.,"E. A, C, and D.",B. Dollar-cost averaging for student debt,B. Target the smallest outstanding balances first to knock them out,C. The government may take your state and federal tax refunds to pay off your student loans,"B. Credit history, equity, financial assets, and debt-to-income ratio","B. Interest rate charged, C. Annual Percentage Rate (APR), D. Loan duration",C. You need to earn 3% more in net income just to maintain your current standard of living,,
6/5/2025 11:00:01,4 / 12,Sophomore (10th),No,,5,2,C. Open a basic savings account to begin earning interest.,"B. Direct deposit for paychecks, automated bill payments, auto-transfers to savings, and a budgeting app or platform",D. Both A and B,C. Pay the maximum you can afford on the card with the highest interest rate.,"B. Between $150,000–$225,000, depending on circumstances.",C. Investments in real estate are not liquid and cannot be sold quickly.,C. Return on investment (ROI),B. Target the smallest outstanding balances first to knock them out,D. A and C,"C. Home equity, cash flow, asset reports, and debt-to-liquidity ratio",B. Interest rate charged,B. Retirement accounts like 401(k)s automatically account for inflation by 3%,,
6/5/2025 11:00:20,7 / 12,Sophomore (10th),No,,5,3,"A. Define your life, career, and financial goals in writing",A. Using a spreadsheet to list bills and writing down a monthly budget.,D. Both A and B,C. Pay the maximum you can afford on the card with the highest interest rate.,"A. $141,598.","E. A, C, and D.",D. All of the above,C. Max out payments (within budget) on the highest interest loan,D. A and C,"B. Credit history, equity, financial assets, and debt-to-income ratio","C. Annual Percentage Rate (APR), D. Loan duration",C. You need to earn 3% more in net income just to maintain your current standard of living,,
6/5/2025 11:00:23,5 / 12,Sophomore (10th),Yes,"8th grade, very surface level",5,3,"A. Define your life, career, and financial goals in writing",A. Using a spreadsheet to list bills and writing down a monthly budget.,D. Both A and B,E. Not sure,D. None of the above.,"E. A, C, and D.",D. All of the above,C. Max out payments (within budget) on the highest interest loan,D. A and C,"A. Credit score, available savings, educational background, and job history","B. Interest rate charged, C. Annual Percentage Rate (APR)",C. You need to earn 3% more in net income just to maintain your current standard of living,,
